Frame,MeanError,Tracked,Lost,Added
0,7.36872,696,304,0
1,6.92981,624,72,0
2,6.95876,579,45,0
3,6.85208,535,44,0
4,6.7933,492,43,1000
5,6.76432,1111,381,0
6,6.80329,991,120,0
7,6.73145,897,94,0
8,6.80592,820,77,0
9,6.87641,734,86,0
10,6.8202,684,50,0
11,6.84957,649,35,0
12,6.87858,611,38,0
13,6.84559,583,28,0
14,6.79161,544,39,0
15,6.73558,508,36,0
16,6.72351,480,28,1000
17,6.81733,1265,215,0
18,6.91127,1142,123,0
19,7.0991,975,167,0
20,7.35806,874,101,0
21,7.63165,768,106,0
22,7.72492,649,119,0
23,7.7729,575,74,0
24,7.76824,506,69,0
25,7.58145,479,27,1000
26,7.51351,1092,387,0
27,7.42842,991,101,0
28,7.39728,884,107,0
29,7.29467,821,63,0
30,7.31967,759,62,0
31,7.19881,732,27,0
32,7.142,664,68,0
33,7.08017,633,31,0
34,7.04671,579,54,0
35,7.28326,541,38,0
36,7.28506,505,36,0
37,7.2253,492,13,1000
38,7.32669,1209,283,0
39,7.40374,1095,114,0
40,7.13895,1003,92,0
41,7.07014,954,49,0
42,7.21176,891,63,0
43,7.03528,845,46,0
44,6.90196,810,35,0
45,6.85918,776,34,0
46,6.90819,751,25,0
47,6.77389,720,31,0
48,6.74124,697,23,0
49,6.67711,657,40,0
50,6.60303,635,22,0
51,6.41648,606,29,0
52,6.25715,589,17,0
53,6.14623,561,28,0
54,6.07047,542,19,0
55,6.07101,518,24,0
56,6.07007,493,25,1000
57,6.28582,1152,341,0
58,6.40115,1061,91,0
59,6.4911,995,66,0
60,6.56877,934,61,0
61,6.68532,863,71,0
62,6.63906,807,56,0
63,6.6431,776,31,0
64,6.56121,748,28,0
65,6.36818,692,56,0
66,6.18735,674,18,0
67,5.98015,659,15,0
68,5.88368,641,18,0
69,5.88118,625,16,0
70,5.85916,618,7,0
71,5.87373,606,12,0
72,5.95088,594,12,0
73,6.02523,586,8,0
74,6.086,577,9,0
75,6.16643,562,15,0
76,6.19745,552,10,0
77,6.19736,536,16,0
78,6.18317,533,3,0
79,6.1722,526,7,0
80,6.24192,520,6,0
81,6.34515,513,7,0
82,6.35656,504,9,0
83,6.37654,494,10,1000
84,6.37295,1385,109,0
85,6.24852,1336,49,0
86,6.06611,1288,48,0
87,5.96636,1249,39,0
88,5.74135,1199,50,0
89,5.53242,1138,61,0
90,5.33878,1072,66,0
91,5.16315,1037,35,0
92,4.99083,991,46,0
93,4.9437,931,60,0
94,4.90157,863,68,0
95,4.90262,813,50,0
96,4.92357,754,59,0
97,5.04193,689,65,0
98,5.1611,612,77,0
99,5.35699,560,52,0
100,5.57679,500,60,0
101,5.70713,433,67,1000
102,5.61203,909,524,0
103,5.36856,599,310,0
104,5.0634,468,131,1000
105,4.85978,934,534,0
106,4.79711,573,361,0
107,4.81968,462,111,1000
108,5.14868,776,686,0
109,5.52304,575,201,0
110,5.61482,424,151,1000
111,5.83687,650,774,0
112,6.09046,598,52,0
113,6.20035,561,37,0
114,6.21625,469,92,1000
115,6.51623,962,507,0
116,6.58049,899,63,0
117,6.7071,808,91,0
118,6.95802,720,88,0
119,7.25848,686,34,0
120,7.34862,655,31,0
121,7.60754,591,64,0
122,7.60046,516,75,0
123,7.43991,412,104,1000
124,7.47108,1024,388,0
125,7.41868,906,118,0
126,7.278,810,96,0
127,7.24804,716,94,0
128,7.38031,615,101,0
129,7.25611,538,77,0
130,7.15491,489,49,1000
131,6.96412,924,565,0
132,6.71847,848,76,0
133,6.24768,810,38,0
134,6.06465,762,48,0
135,5.9185,729,33,0
136,6.36177,672,57,0
137,6.22644,655,17,0
138,6.16178,633,22,0
139,5.86445,619,14,0
140,5.78555,601,18,0
141,5.21868,587,14,0
142,5.3611,578,9,0
143,5.40924,554,24,0
144,5.38977,548,6,0
145,5.24929,539,9,0
146,5.1327,523,16,0
147,4.95409,508,15,0
148,4.8386,497,11,1000
149,4.9992,1314,183,0
150,5.07905,1153,161,0
151,5.23601,1092,61,0
152,5.73752,1041,51,0
153,6.3548,959,82,0
154,6.55291,912,47,0
155,6.80465,873,39,0
156,6.85409,838,35,0
157,6.64555,802,36,0
158,6.40771,762,40,0
159,6.34979,709,53,0
160,6.60857,614,95,0
161,6.59614,569,45,0
162,6.55603,525,44,0
163,6.4191,480,45,1000
164,6.62333,1006,474,0
165,6.45808,889,117,0
166,6.53555,780,109,0
167,6.49477,719,61,0
168,6.3764,668,51,0
169,6.04709,635,33,0
170,5.74477,600,35,0
171,5.53194,572,28,0
172,5.46871,550,22,0
173,5.66188,535,15,0
174,5.59849,531,4,0
175,5.8825,518,13,0
176,6.27158,508,10,0
177,6.76377,493,15,1000
178,7.13204,1150,343,0
179,7.54796,1084,66,0
180,7.68629,973,111,0
181,8.16827,787,186,0
182,7.77412,760,27,0
183,7.87704,716,44,0
184,7.50015,696,20,0
185,7.10944,671,25,0
186,6.23355,656,15,0
187,6.11777,641,15,0
188,5.44133,630,11,0
189,5.46465,612,18,0
190,5.40433,602,10,0
191,5.39053,580,22,0
192,5.44504,571,9,0
193,5.57271,565,6,0
194,5.69808,550,15,0
195,5.90409,538,12,0
196,6.0784,499,39,1000
197,6.53046,1049,450,0
198,6.79708,719,330,0
